iter	Passed	Remaining
0	1	149
1	2	145
2	4	134
3	5	139
4	7	134
5	8	132
6	9	128
7	11	127
8	12	125
9	13	123
10	15	122
11	16	119
12	17	116
13	18	114
14	20	114
15	21	112
16	22	111
17	24	110
18	25	108
19	26	107
20	28	106
21	29	104
22	30	102
23	31	100
24	32	98
25	34	97
26	35	95
27	36	94
28	37	92
29	39	91
30	40	90
31	41	88
32	43	87
33	44	86
34	45	84
35	46	82
36	47	81
37	48	79
38	50	78
39	51	77
40	52	75
41	53	74
42	55	73
43	55	70
44	57	69
45	58	68
46	59	67
47	60	65
48	61	64
49	62	62
50	64	61
51	65	60
52	66	59
53	68	58
54	69	56
55	70	55
56	72	54
57	74	53
58	76	52
59	77	51
60	78	50
61	80	49
62	82	48
63	83	47
64	85	45
65	86	44
66	88	43
67	89	42
68	91	41
69	92	39
70	94	38
71	96	37
72	97	36
73	99	34
74	100	33
75	101	32
76	103	30
77	104	29
78	105	27
79	106	26
80	108	25
81	110	24
82	111	22
83	112	21
84	114	20
85	115	18
86	116	17
87	118	16
88	119	14
89	120	13
90	122	12
91	123	10
92	125	9
93	126	8
94	127	6
95	129	5
96	130	4
97	131	2
98	133	1
99	134	0
